Index,Temperature,DewPoint,Humidity,Wind,WindSpeed,WindGust,Pressure,Precip,Condition,datetime1,month,day,hour,minute
2,43 °F,41 °F,93 %,ENE,5 mph,0 mph,30.12 in,0.0 in,Cloudy,2013-01-13 00:46:00,1,13,0,46
3,42 °F,41 °F,96 %,E,5 mph,0 mph,30.12 in,0.0 in,Cloudy,2013-01-13 00:51:00,1,13,0,51
4,43 °F,41 °F,93 %,E,3 mph,0 mph,30.13 in,0.0 in,Cloudy,2013-01-13 01:47:00,1,13,1,47
5,42 °F,41 °F,96 %,E,5 mph,0 mph,30.12 in,0.0 in,Cloudy,2013-01-13 01:51:00,1,13,1,51
6,42 °F,42 °F,100 %,E,5 mph,0 mph,30.11 in,0.0 in,Cloudy,2013-01-13 02:51:00,1,13,2,51
7,44 °F,43 °F,96 %,S,6 mph,0 mph,30.11 in,0.0 in,Cloudy,2013-01-13 03:51:00,1,13,3,51
8,45 °F,43 °F,93 %,S,5 mph,0 mph,30.10 in,0.0 in,Cloudy,2013-01-13 04:51:00,1,13,4,51
9,44 °F,43 °F,96 %,SSE,6 mph,0 mph,30.08 in,0.0 in,Cloudy,2013-01-13 05:51:00,1,13,5,51
10,45 °F,43 °F,93 %,S,7 mph,0 mph,30.10 in,0.0 in,Cloudy,2013-01-13 06:25:00,1,13,6,25
11,44 °F,43 °F,96 %,S,6 mph,0 mph,30.10 in,0.0 in,Cloudy,2013-01-13 06:51:00,1,13,6,51
12,43 °F,43 °F,100 %,SSE,8 mph,0 mph,30.10 in,0.0 in,Cloudy,2013-01-13 07:04:00,1,13,7,4
13,43 °F,42 °F,97 %,S,6 mph,0 mph,30.11 in,0.0 in,Cloudy,2013-01-13 07:51:00,1,13,7,51
14,43 °F,43 °F,100 %,SSE,6 mph,0 mph,30.12 in,0.0 in,Cloudy,2013-01-13 08:19:00,1,13,8,19
15,43 °F,42 °F,97 %,S,6 mph,0 mph,30.12 in,0.0 in,Cloudy,2013-01-13 08:51:00,1,13,8,51
16,44 °F,43 °F,96 %,S,8 mph,0 mph,30.13 in,0.0 in,Cloudy,2013-01-13 09:51:00,1,13,9,51
17,45 °F,43 °F,93 %,S,9 mph,0 mph,30.13 in,0.0 in,Cloudy,2013-01-13 10:11:00,1,13,10,11
18,45 °F,43 °F,93 %,S,7 mph,0 mph,30.13 in,0.0 in,Cloudy,2013-01-13 10:20:00,1,13,10,20
19,45 °F,43 °F,93 %,S,7 mph,0 mph,30.14 in,0.0 in,Cloudy,2013-01-13 10:44:00,1,13,10,44
20,45 °F,43 °F,93 %,S,7 mph,0 mph,30.13 in,0.0 in,Cloudy,2013-01-13 10:51:00,1,13,10,51
21,45 °F,43 °F,93 %,S,8 mph,0 mph,30.12 in,0.0 in,Cloudy,2013-01-13 11:17:00,1,13,11,17
22,45 °F,43 °F,93 %,S,8 mph,0 mph,30.11 in,0.0 in,Cloudy,2013-01-13 11:32:00,1,13,11,32
23,45 °F,43 °F,93 %,SSE,6 mph,0 mph,30.10 in,0.0 in,Cloudy,2013-01-13 11:51:00,1,13,11,51
24,46 °F,43 °F,87 %,SSE,6 mph,0 mph,30.09 in,0.0 in,Cloudy,2013-01-13 12:17:00,1,13,12,17
25,46 °F,45 °F,93 %,S,5 mph,0 mph,30.09 in,0.0 in,Cloudy,2013-01-13 12:39:00,1,13,12,39
26,46 °F,43 °F,89 %,SSE,6 mph,0 mph,30.08 in,0.0 in,Cloudy,2013-01-13 12:51:00,1,13,12,51
27,46 °F,43 °F,87 %,S,7 mph,0 mph,30.06 in,0.0 in,Cloudy,2013-01-13 13:42:00,1,13,13,42
28,47 °F,44 °F,90 %,S,7 mph,0 mph,30.05 in,0.0 in,Cloudy,2013-01-13 13:51:00,1,13,13,51
29,47 °F,43 °F,86 %,S,7 mph,0 mph,30.06 in,0.0 in,Cloudy,2013-01-13 14:51:00,1,13,14,51
30,46 °F,43 °F,87 %,SSE,9 mph,0 mph,30.05 in,0.0 in,Cloudy,2013-01-13 15:51:00,1,13,15,51
31,47 °F,43 °F,86 %,S,9 mph,0 mph,30.03 in,0.0 in,Cloudy,2013-01-13 16:51:00,1,13,16,51
32,46 °F,43 °F,87 %,S,9 mph,0 mph,30.03 in,0.0 in,Cloudy,2013-01-13 17:11:00,1,13,17,11
33,48 °F,45 °F,87 %,S,8 mph,0 mph,30.03 in,0.0 in,Cloudy,2013-01-13 17:51:00,1,13,17,51
34,48 °F,45 °F,89 %,S,5 mph,0 mph,30.01 in,0.0 in,Cloudy,2013-01-13 18:51:00,1,13,18,51
35,48 °F,45 °F,87 %,S,6 mph,0 mph,30.01 in,0.0 in,Cloudy,2013-01-13 19:14:00,1,13,19,14
36,49 °F,46 °F,90 %,CALM,0 mph,0 mph,30.01 in,0.0 in,Cloudy,2013-01-13 19:51:00,1,13,19,51
37,48 °F,46 °F,93 %,CALM,0 mph,0 mph,30.00 in,0.0 in,Cloudy,2013-01-13 20:42:00,1,13,20,42
38,49 °F,47 °F,93 %,CALM,0 mph,0 mph,30.00 in,0.0 in,Cloudy,2013-01-13 20:51:00,1,13,20,51
39,50 °F,48 °F,94 %,CALM,0 mph,0 mph,30.01 in,0.0 in,Cloudy,2013-01-13 21:00:00,1,13,21,0
40,50 °F,48 °F,94 %,ESE,6 mph,0 mph,29.99 in,0.0 in,Cloudy,2013-01-13 21:46:00,1,13,21,46
41,50 °F,47 °F,89 %,SE,5 mph,0 mph,29.99 in,0.0 in,Cloudy,2013-01-13 21:51:00,1,13,21,51
42,46 °F,46 °F,100 %,NW,5 mph,0 mph,30.01 in,0.0 in,Cloudy,2013-01-13 22:43:00,1,13,22,43
43,46 °F,45 °F,93 %,NW,5 mph,0 mph,30.01 in,0.0 in,Cloudy,2013-01-13 22:48:00,1,13,22,48
44,47 °F,46 °F,97 %,NW,3 mph,0 mph,30.00 in,0.0 in,Cloudy,2013-01-13 22:51:00,1,13,22,51
0,43 °F,41 °F,93 %,CALM,0 mph,0 mph,30.12 in,0.0 in,Cloudy,2013-01-13 23:46:00,1,13,23,46
1,42 °F,41 °F,96 %,CALM,0 mph,0 mph,30.13 in,0.0 in,Cloudy,2013-01-13 23:51:00,1,13,23,51
