datetime1|Temperature|DewPoint|Humidity|WindSpeed|WindGust|Pressure|Precip|DateKey|HourKey
2013-01-13 00:51:00|42|41|96|5|0|30|0|201313|0
2013-01-13 01:51:00|42|41|96|5|0|30|0|201313|1
2013-01-13 02:51:00|42|42|100|5|0|30|0|201313|2
2013-01-13 03:51:00|44|43|96|6|0|30|0|201313|3
2013-01-13 04:51:00|45|43|93|5|0|30|0|201313|4
2013-01-13 05:51:00|44|43|96|6|0|30|0|201313|5
2013-01-13 06:51:00|44|43|96|6|0|30|0|201313|6
2013-01-13 07:51:00|43|42|97|6|0|30|0|201313|7
2013-01-13 08:51:00|43|42|97|6|0|30|0|201313|8
2013-01-13 09:51:00|44|43|96|8|0|30|0|201313|9
2013-01-13 10:51:00|45|43|93|7|0|30|0|201313|10
2013-01-13 11:51:00|45|43|93|6|0|30|0|201313|11
2013-01-13 12:51:00|46|43|89|6|0|30|0|201313|12
2013-01-13 13:51:00|47|44|90|7|0|30|0|201313|13
2013-01-13 14:51:00|47|43|86|7|0|30|0|201313|14
2013-01-13 15:51:00|46|43|87|9|0|30|0|201313|15
2013-01-13 16:51:00|47|43|86|9|0|30|0|201313|16
2013-01-13 17:51:00|48|45|87|8|0|30|0|201313|17
2013-01-13 18:51:00|48|45|89|5|0|30|0|201313|18
2013-01-13 19:51:00|49|46|90|0|0|30|0|201313|19
2013-01-13 20:51:00|49|47|93|0|0|30|0|201313|20
2013-01-13 21:51:00|50|47|89|5|0|29|0|201313|21
2013-01-13 22:51:00|47|46|97|3|0|30|0|201313|22
2013-01-13 23:51:00|42|41|96|0|0|30|0|201313|23
